film_key,title,year,trait_id,candidate_value,candidate_confidence,source,rationale,decision,reviewed_value,reviewed_confidence,review_note
title:the-blair-witch-project:1999,The Blair Witch Project,1999,found_footage_realism,0.98,0.98,human_authored,Recorded-media form is central to the film's realism.,approve,,,
title:the-blair-witch-project:1999,The Blair Witch Project,1999,creeping_dread,0.96,0.94,human_authored,Fear accumulates gradually through atmosphere and uncertainty.,approve,,,
title:the-blair-witch-project:1999,The Blair Witch Project,1999,sustained_uncertainty,0.97,0.95,human_authored,The threat and its rules remain unresolved for most of the film.,approve,,,
title:the-blair-witch-project:1999,The Blair Witch Project,1999,isolation,0.94,0.96,human_authored,The characters become physically cut off from safety.,approve,,,
title:the-blair-witch-project:1999,The Blair Witch Project,1999,ambiguous_ending,0.95,0.94,human_authored,The conclusion withholds a complete factual explanation.,approve,,,
title:the-thing:1982,The Thing,1982,isolation,0.99,0.99,human_authored,The Antarctic station is completely cut off from outside help.,approve,,,
title:the-thing:1982,The Thing,1982,paranoia,0.99,0.99,human_authored,Identity uncertainty makes every character suspect.,approve,,,
title:the-thing:1982,The Thing,1982,body_horror,0.98,0.99,human_authored,Transformation and bodily violation drive the horror.,approve,,,
title:the-thing:1982,The Thing,1982,practical_effects,0.99,0.99,human_authored,Physical creature and makeup effects are a defining craft feature.,approve,,,
title:the-thing:1982,The Thing,1982,ambiguous_ending,0.92,0.94,human_authored,The final identities and outcome remain unresolved.,approve,,,
title:suspiria:1977,Suspiria,1977,stylized_visuals,0.99,0.99,human_authored,Heightened color and expressionistic design define the film.,approve,,,
title:suspiria:1977,Suspiria,1977,occult_dread,0.94,0.96,human_authored,Hidden witchcraft and ritual systems drive the threat.,approve,,,
title:suspiria:1977,Suspiria,1977,dream_logic,0.91,0.91,human_authored,The film often privileges nightmare association over realism.,approve,,,
title:suspiria:1977,Suspiria,1977,sound_driven_tension,0.96,0.97,human_authored,Music and sound design are central to the fear response.,approve,,,
title:suspiria:1977,Suspiria,1977,beautiful_cinematography,0.97,0.90,model_candidate,Candidate personal-response trait for review because visual beauty is unusually prominent.,approve,,,
title:the-wicker-man:1973,The Wicker Man,1973,folk_horror,0.99,0.99,human_authored,"Rural tradition, community belief, and ritual define the film.",approve,,,
title:the-wicker-man:1973,The Wicker Man,1973,occult_dread,0.91,0.94,human_authored,Religious ritual and hidden belief systems drive the threat.,approve,,,
